"ID","block_plot","block","plot","species","Soil_depth","tot_dry_weight_aff","FRB_g_cm3","SRL_m_g","RLD_m_m3","mycelium","length_aff_cm","surfarea_cm2","avgdiam_mm","rootvol_aff_class_cm3","RTD_g_cm3","tips","forks","crossings","ntips_length_n_cm","nforks_length_n_cm","RDMC_dry_g_fresh_g","h2o","RLD_cm_cm3","SRA_cm2_g","ntips_length_n_cm_log1","RLD_cm_cm3_log1","SRL_m_g_log1","SRA_cm2_g_log1","length_aff_cm_sqrt","RDMC_dry_g_fresh_g_log1","rootvol_aff_class_cm3_log1"
"8_23_ACSA_20_30_500_180907_AF","823","8",23,"Acer saccharum","20-30",0.2118,0.0011,80.4,90645.8,"no",1703.32717659442,98.4579,0.319,7.741,0.027,1891,1092,261,1.11,0.64,0.16,"High",9.06458,464.862606232295,0.746687947487975,2.30902232945805,4.39937527300849,6.14389075424146,41.2713844763466,0.148420005118273,2.16802459959835
"4_2_QURU_0_5_500_180911_AF","42","4",2,"Quercus rubra","0-5",0.8399,0.009,72.9,653092.7,"no",6122.54242127904,253.7077,0.26,9.57,0.088,12241,17969,2886,2,2.93,0.35,"High",65.30927,302.068936778188,1.09861228866811,4.19432970642258,4.30271282795416,5.71396029375139,78.2466767427157,0.300104592450338,2.35801979988215
"4_2_QURU_5_10_500_180911_AF","42","4",2,"Quercus rubra","5-10",0.0971,0.001,118.2,123167.4,"no",1147.41903435807,59.2251,0.2495,3.744,0.026,2869,2370,295,2.5,2.07,0.2,"High",12.31674,609.939237899073,1.25276296849537,2.58902189041262,4.78080275463125,6.41499750725272,33.8735742778655,0.182321556793955,1.55688066169542
"4_2_QURU_10_15_500_180911_AF","42","4",2,"Quercus rubra","10-15",0.1564,0.0017,91.7,155496.9,"no",1434.79244163187,29.4219,0.2626,2.201,0.071,1435,1175,168,1,0.82,0.33,"High",15.54969,188.119565217391,0.693147180559945,2.80636737052982,4.52936847257181,5.24237943523768,37.8786541686986,0.285178942233662,1.16346326098773
"4_2_QURU_15_20_500_180911_AF","42","4",2,"Quercus rubra","15-20",0.093,0.001,107.6,108400.5,"no",1001.14148672202,20.8103,0.2555,1.249,0.074,792,429,34,0.79,0.43,0.6,"High",10.84005,223.766666666667,0.582215619852664,2.47148785241992,4.68767140749983,5.41506282707243,31.6408199438956,0.470003629245736,0.810485672977179
"4_2_QURU_20_30_500_180911_AF","42","4",2,"Quercus rubra","20-30",0.1282,7e-04,88.6,62979,"no",1135.47951256837,17.4715,0.2799,1.83,0.07,437,153,4,0.38,0.13,0.41,"High",6.2979,136.283151326053,0.322083499169113,1.98758663553616,4.49535531998088,4.92204559093985,33.696876896359,0.343589704390077,1.04027671165515
"4_1_PIGL_0_5_500_180911_AF","41","4",1,"Picea glauca","0-5",0.9694,0.0103,41.1,424160.1,"no",3984.93212959638,70.5852,0.3727,4.236,0.229,1837,1560,99,0.46,0.39,0.36,"High",42.41601,72.8132865690118,0.378436435720245,3.77082826709091,3.74004774068834,4.30153875021256,63.1263188345113,0.307484699747961,1.65555784804765
"4_1_PIGL_5_10_500_180911_AF","41","4",1,"Picea glauca","5-10",0.5667,0.006,45.7,276096.3,"no",2592.71013090623,32.9121,0.3742,2.066,0.274,707,405,17,0.27,0.16,0.31,"High",27.60963,58.076760190577,0.2390169004705,3.35374337443732,3.84374416467485,4.07883761849158,50.9186619119771,0.27002713721306,1.12037378044962
"4_1_PIGL_10_15_500_180911_AF","41","4",1,"Picea glauca","10-15",0.2361,0.0025,56.6,143101.4,"no",1337.51575935129,17.0003,0.36,1.567,0.151,539,307,14,0.4,0.23,0.29,"High",14.31014,72.0046590427785,0.336472236621213,2.72851535397788,4.05352256770185,4.29052326161564,36.5720625526,0.254642218373581,0.942737901889003
"4_1_PIGL_15_20_500_180911_AF","41","4",1,"Picea glauca","15-20",0.0437,5e-04,46.5,21879.5,"no",203.493188524972,8.0301,0.4059,0.29,0.151,269,125,9,1.32,0.61,0.27,"High",2.18795,183.755148741419,0.841567185678219,1.15937807699067,3.8607297110406,5.21903142813508,14.2651038736131,0.2390169004705,0.254642218373581
"4_1_PIGL_20_30_500_180911_AF","41","4",1,"Picea glauca","20-30",0.082,4e-04,40.5,17992.7,"no",331.94375504899,8.4632,0.4267,0.939,0.087,241,127,6,0.73,0.38,0.3,"High",1.79927,103.209756097561,0.548121408509688,1.02935866890357,3.72569342723665,4.64640575351183,18.2193236715579,0.262364264467491,0.662172376260515
"4_7_BEPA_0_5_500_180911_AF","47","4",7,"Betula papyrifera","0-5",0.4396,0.0048,72,345362.6,"no",3167.36406820234,52.7041,0.2715,2.362,0.186,1997,1518,148,0.63,0.48,0.33,"High",34.53626,119.891037306642,0.488580014818671,3.57055358364939,4.29045944114839,4.79488962175979,56.2793396212353,0.285178942233662,1.21253603498642
"4_7_BEPA_5_10_500_180911_AF","47","4",7,"Betula papyrifera","5-10",0.3659,0.0039,87.6,344377,"no",3204.54326634337,54.809,0.2749,3.182,0.115,2859,1917,189,0.89,0.6,0.28,"High",34.4377,149.792292976223,0.636576829071551,3.56777622521102,4.48413185761104,5.01590334668309,56.6086854320375,0.246860077931526,1.43078960100644
"4_7_BEPA_10_15_500_180911_AF","47","4",7,"Betula papyrifera","10-15",0.1576,0.0017,93.7,160751.8,"no",1477.5192328618,25.6576,0.2692,1.445,0.109,1117,820,75,0.76,0.55,0.38,"High",16.07518,162.802030456853,0.56531380905006,2.83762594712896,4.55071400019203,5.09865856729362,38.4385123653583,0.322083499169113,0.894045122926835
"4_7_BEPA_15_20_500_180911_AF","47","4",7,"Betula papyrifera","15-20",0.1542,0.0016,112.3,184205.2,"no",1732.52890115402,22.5578,0.3225,1.672,0.092,737,421,26,0.43,0.24,0.35,"High",18.42052,146.289234760052,0.357674444271816,2.96633023902375,4.73003916803396,4.99239823702358,41.6236579501853,0.300104592450338,0.982827255674399
"4_7_BEPA_20_30_500_180911_AF","47","4",7,"Betula papyrifera","20-30",0.0149,1e-04,87.9,7016.7,"no",130.9508,12.2529,0.2978,0.008,1.863,765,414,19,5.84,3.16,0.16,"High",0.70167,822.342281879195,1.92278773163446,0.53161012181046,4.48751214251986,6.71337200957403,11.4433736284367,0.148420005118273,0.00796816964917688
"4_15_LALA_0_5_500_180912_AF","415","4",15,"Larix laricina","0-5",0.8687,0.0092,40.3,370566.3,"no",3503.62742864182,54.2165,0.4113,3.774,0.23,1114,580,29,0.32,0.17,0.31,"High",37.05663,62.4110740186486,0.27763173659828,3.63907531354414,3.72086249996699,4.14963851525417,59.1914472592267,0.27002713721306,1.56318452791664
"4_15_LALA_5_10_500_180912_AF","415","4",15,"Larix laricina","5-10",0.1794,0.0019,49.5,95985.6,"no",888.379840959532,20.8012,0.4537,2.829,0.063,499,309,11,0.56,0.35,0.29,"High",9.59856,115.948717948718,0.444685821261446,2.3607181428331,3.92197333628131,4.76173553058205,29.8057014841042,0.254642218373581,1.34260367249516
"4_15_LALA_10_15_500_180912_AF","415","4",15,"Larix laricina","10-15",0.1438,0.0016,27.9,43489.8,"no",400.563792093903,10.5031,0.5029,0.794,0.181,253,154,5,0.63,0.38,0.5,"High",4.34898,73.0396383866481,0.488580014818671,1.67690588852548,3.36384159511839,4.30460060366647,20.0140898392583,0.405465108108164,0.584447763636604
"4_15_LALA_15_20_500_180912_AF","415","4",15,"Larix laricina","15-20",0.0712,8e-04,28.6,21975.1,"no",204.019256700577,6.1571,0.5675,0.835,0.085,127,70,5,0.62,0.34,0.33,"High",2.19751,86.4761235955056,0.482426149244293,1.16237238190929,3.38777436133001,4.47136588293268,14.2835309605355,0.285178942233662,0.607044481506534
"4_15_LALA_20_30_500_180912_AF","415","4",15,"Larix laricina","20-30",0.0011,0,39.8,243.1,"no",4.3816,0.5228,0.3798,0.062,0.018,35,11,0,7.99,2.51,0.29,"High",0.02431,475.272727272727,2.19611284848353,0.0240192151775114,3.70868208141012,6.16599064660985,2.09322717352895,0.254642218373581,0.0601539228197471
"4_4_PIST_0_5_500_180912_AF","44","4",4,"Pinus strobus","0-5",0.5297,0.0057,20.5,117607.9,"no",1084.77449423695,34.3018,0.5414,5.683,0.093,451,276,9,0.42,0.25,0.36,"High",11.76079,64.757032282424,0.350656871613169,2.54637718822587,3.06805293513362,4.18596662020437,32.9359149597662,0.307484699747961,1.89956698852893
"4_4_PIST_5_10_500_180912_AF","44","4",4,"Pinus strobus","5-10",0.2504,0.0027,32.4,87327.4,"no",812.050229955702,14.3432,0.4149,3.006,0.083,426,314,10,0.52,0.39,0.29,"High",8.73274,57.2811501597444,0.418710334858185,2.27549545984395,3.50855589998265,4.06527871619995,28.4964950468597,0.254642218373581,1.38779323724363
"4_4_PIST_10_15_500_180912_AF","44","4",4,"Pinus strobus","10-15",0.2305,0.0025,45.1,113141.3,"no",1039.54525029666,13.1662,0.51,2.046,0.113,313,247,7,0.3,0.24,0.28,"High",11.31413,57.1201735357918,0.262364264467491,2.51074738352278,3.8308129500026,4.06251282451648,32.2419796274463,0.246860077931526,1.11382925447297
"4_4_PIST_15_20_500_180912_AF","44","4",4,"Pinus strobus","15-20",0.1888,0.002,39,78580.2,"no",736.028094959297,11.8689,0.3853,2.07,0.091,407,194,2,0.55,0.26,0.28,"High",7.85802,62.864936440678,0.438254930931155,2.18132326334447,3.68887945411394,4.15677048528056,27.1298377245294,0.246860077931526,1.12167756159911
"4_4_PIST_20_30_500_180912_AF","44","4",4,"Pinus strobus","20-30",0.156,9e-04,44.7,38841.1,"no",697.708850344053,13.6811,0.5683,2.677,0.058,237,155,5,0.34,0.22,0.26,"High",3.88411,87.699358974359,0.29266961396282,1.58598707851735,3.82209829790016,4.4852526623938,26.4141789640347,0.231111720963387,1.30209720231914
"4_24_ACSA_0_5_500_180912_AF","424","4",24,"Acer saccharum","0-5",1.9695,0.0223,33.9,756892.9,"yes",6671.7650264102,173.589,0.283,3.872,0.509,7564,5968,748,1.13,0.89,0.27,"High",75.68929,88.1386138613861,0.756121979721334,4.33976206368201,3.55248682920838,4.49019261726722,81.6808730757097,0.2390169004705,1.5835045304076
"4_24_ACSA_5_10_500_180912_AF","424","4",24,"Acer saccharum","5-10",0.1683,0.0019,53.6,103855.4,"no",902.498486821432,54.7528,0.3577,4.813,0.035,1215,891,52,1.35,0.99,0.21,"High",10.38554,325.328579916815,0.854415328156068,2.43234412922094,4.00003388275086,5.78790478761785,30.0416125869007,0.19062035960865,1.76009678871921
"4_24_ACSA_10_15_500_180912_AF","424","4",24,"Acer saccharum","10-15",0.2608,0.0029,51.3,149469.2,"no",1336.58451864507,91.2525,0.3604,7.494,0.035,2424,1341,114,1.81,1,0.19,"High",14.94692,349.894555214724,1.03318448334565,2.76926570713571,3.95699637107088,5.86048576583933,36.5593287499247,0.173953307123438,2.13936003189108
"4_24_ACSA_15_20_500_180912_AF","424","4",24,"Acer saccharum","15-20",0.2909,0.0032,49.8,160291.3,"no",1449.04335777278,73.3936,0.3477,6.048,0.048,1882,915,64,1.3,0.63,0.19,"High",16.02913,252.29838432451,0.832909122935104,2.83492540705138,3.92789635458444,5.5345681784816,38.0663021289536,0.173953307123438,1.95274388863388
"4_24_ACSA_20_30_500_180912_AF","424","4",24,"Acer saccharum","20-30",0.1456,8e-04,58.7,47609.5,"no",854.575849655009,28.7434,0.3474,3.066,0.047,651,278,14,0.76,0.33,0.19,"High",4.76095,197.413461538462,0.56531380905006,1.75110239166381,4.08933202039856,5.29035304304531,29.2331293168386,0.173953307123438,1.40265971520615
"7_10_PIST_0_5_500_180912_AF","710","7",10,"Pinus strobus","0-5",1.152,0.0123,27.8,340938.6,"no",3200.0360345225,49.6696,0.5514,5.723,0.201,410,192,3,0.13,0.06,0.31,"High",34.09386,43.1159722222222,0.122217632724249,3.55802618639507,3.3603753871419,3.78682189879057,56.5688609972174,0.27002713721306,1.9055344834869
"7_10_PIST_5_10_500_180912_AF","710","7",10,"Pinus strobus","5-10",0.1537,0.0016,29.6,48259.2,"no",454.864152833636,15.6105,0.4975,2.597,0.059,290,182,6,0.64,0.4,0.31,"High",4.82592,101.564736499675,0.494696241836107,1.76231692689473,3.42100000895834,4.63049417482511,21.3275444632906,0.27002713721306,1.28010016471349
"7_10_PIST_10_15_500_180912_AF","710","7",10,"Pinus strobus","10-15",0.2359,0.0025,36.5,92550.3,"no",861.539064773188,18.977,0.4577,2.634,0.09,453,259,8,0.53,0.3,0.3,"High",9.25503,80.4451038575668,0.425267735404344,2.32776831692231,3.62434093297637,4.39992922099528,29.3519857040914,0.262364264467491,1.29033396997398
"7_10_PIST_15_20_500_180912_AF","710","7",10,"Pinus strobus","15-20",0.3379,0.0036,20.3,73566.5,"no",685.293705538527,21.0842,0.5267,3.506,0.096,477,269,10,0.7,0.39,0.26,"High",7.35665,62.3977508138503,0.53062825106217,2.12305762908447,3.05870707271538,4.14942838469165,26.1781150111792,0.231111720963387,1.50540984201005
"7_10_PIST_20_30_500_180912_AF","710","7",10,"Pinus strobus","20-30",0.0962,5e-04,46.2,23872.3,"no",444.135627443979,16.1973,0.4066,2.039,0.047,447,288,8,1.01,0.65,0.23,"High",2.38723,168.371101871102,0.698134722070984,1.22001247823218,3.85439389259151,5.13209217658596,21.0745255567944,0.207014169384326,1.11152851393466
"7_11_ACSA_0_5_500_180913_AF","711","7",11,"Acer saccharum","0-5",0.5168,0.006,57.6,344501.8,"no",2974.586536658,162.0456,0.3126,8.502,0.061,4891,4463,622,1.64,1.5,0.23,"High",34.45018,313.55572755418,0.970778917158225,3.56812833053929,4.07073469658297,5.75116125457441,54.5397702292373,0.207014169384326,2.25150230276473
"7_11_ACSA_5_10_500_180913_AF","711","7",11,"Acer saccharum","5-10",0.2313,0.0026,52.2,138026.4,"no",1207.10458096182,53.0275,0.3573,4.416,0.052,1243,701,24,1.03,0.58,0.21,"High",13.80264,229.258538694336,0.708035793053696,2.69480554324092,3.9740583963476,5.43920275889661,34.743410612112,0.19062035960865,1.68935753560997
"7_11_ACSA_10_15_500_180913_AF","711","7",11,"Acer saccharum","10-15",0.3148,0.0037,49.3,181755.9,"no",1551.93555567747,77.9846,0.3527,5.211,0.06,1945,1094,67,1.25,0.7,0.22,"High",18.17559,247.727445997459,0.810930216216329,2.95363811601073,3.91800507710569,5.51635770257104,39.3946132824968,0.198850858745165,1.82632191357717
"7_11_ACSA_15_20_500_180913_AF","711","7",11,"Acer saccharum","15-20",0.1289,0.0015,54.2,83147.5,"no",698.929635598797,52.1027,0.3574,4.809,0.027,1006,454,28,1.44,0.65,0.18,"High",8.31475,404.210240496509,0.89199803930511,2.23159916526076,4.01096295328305,6.0044060447514,26.437277386274,0.165514438477573,1.7594084390104
"7_11_ACSA_20_30_500_180913_AF","711","7",11,"Acer saccharum","20-30",0.2073,0.0013,52.7,66466.1,"no",1092.80284388042,60.8583,0.3658,6.068,0.034,1187,548,24,1.09,0.5,0.19,"High",6.64661,293.575976845152,0.73716406597672,2.03426241236921,3.98341300151482,5.68553695571086,33.0575686323181,0.173953307123438,1.95557755445745
"7_12_QURU_0_5_500_180913_AF","712","7",12,"Quercus rubra","0-5",0.8989,0.01,68.4,681555.1,"no",6145.82869032501,254.5168,0.2458,12.568,0.072,11238,15236,2888,1.83,2.48,0.33,"High",68.15551,283.142507509178,1.04027671165515,4.23635773678739,4.23988686751276,5.64947589931235,78.3953358964997,0.285178942233662,2.60771407904955
"7_12_QURU_5_10_500_180913_AF","712","7",12,"Quercus rubra","5-10",0.1895,0.0022,99.9,214950.5,"no",1892.82508505669,25.9703,0.2498,1.315,0.144,870,490,10,0.46,0.26,0.39,"High",21.49505,137.046437994723,0.378436435720245,3.11329528500682,4.61412992735956,4.92759013575949,43.5066096709074,0.3293037471426,0.839409687538197
"7_12_QURU_10_15_500_180913_AF","712","7",12,"Quercus rubra","10-15",0.5242,0.0059,71.2,417928.6,"no",3730.28912002846,72.3151,0.2523,4.756,0.11,3508,2426,207,0.94,0.65,0.33,"High",41.79286,137.953262113697,0.662687973075237,3.75637126624144,4.27944004589878,4.93413763280172,61.0760928680647,0.285178942233662,1.75024278902512
"7_12_QURU_15_20_500_180913_AF","712","7",12,"Quercus rubra","15-20",0.0859,0.001,139.7,137655.5,"no",1199.49778705986,23.0661,0.2766,4.081,0.021,869,536,20,0.72,0.45,0.28,"High",13.76555,268.522700814901,0.542324290825362,2.69229676475609,4.94662996412034,5.59665261988106,34.633766573387,0.246860077931526,1.6255080926116
"7_12_QURU_20_30_500_180913_AF","712","7",12,"Quercus rubra","20-30",0.019,1e-04,370.5,38813.5,"no",703.628779944834,7.4367,0.2477,2.783,0.007,272,173,8,0.39,0.25,0.31,"High",3.88135,391.405263157895,0.3293037471426,1.58542182095171,5.91754886415781,5.97229514033799,26.5260019593009,0.27002713721306,1.33051734565089
"7_17_PIGL_0_5_500_180913_AF","717","7",17,"Picea glauca","0-5",2.2991,0.0261,27.9,729166.4,"no",6422.8689314583,26.1449,0.4112,1.567,1.467,529,409,9,0.08,0.06,0.3,"High",72.91664,11.3717976599539,0.0769610411361284,4.30293797175489,3.36384159511839,2.51541950001352,80.1428033666049,0.262364264467491,0.942737901889003
"7_17_PIGL_5_10_500_180913_AF","717","7",17,"Picea glauca","5-10",0.3987,0.0045,46.1,208779.8,"no",1839.30567420594,16.6978,0.3982,2.802,0.142,286,148,9,0.16,0.08,0.34,"High",20.87798,41.8806119889641,0.148420005118273,3.08548065153684,3.85227300102237,3.75841978879139,42.8871271386408,0.29266961396282,1.33552724406624
"7_17_PIGL_10_15_500_180913_AF","717","7",17,"Picea glauca","10-15",0.4449,0.005,42.6,214115.7,"no",1892.89779279543,25.404,0.3691,1.941,0.229,789,462,21,0.42,0.24,0.29,"High",21.41157,57.1004720161834,0.350656871613169,3.1095773433687,3.77505715035499,4.06217378802768,43.5074452570526,0.254642218373581,1.07874965957186
"7_17_PIGL_15_20_500_180913_AF","717","7",17,"Picea glauca","15-20",0.2519,0.003,41.7,124950.1,"no",1050.35900567182,12.7979,0.3566,0.923,0.273,429,221,9,0.41,0.21,0.3,"High",12.49501,50.8054783644303,0.343589704390077,2.60231998748488,3.75419892023458,3.94749590360434,32.4092425963925,0.262364264467491,0.653886466606643
"7_17_PIGL_20_30_500_180913_AF","717","7",17,"Picea glauca","20-30",0.0756,5e-04,52.8,24874.2,"no",399.090902889874,8.376,0.4312,1.101,0.069,217,96,2,0.54,0.24,0.27,"High",2.48742,110.793650793651,0.431782416425538,1.24916220781628,3.98527346716774,4.71665476835388,19.9772596441522,0.2390169004705,0.742413421862863
"7_9_BEPA_0_5_500_180914_AF","79","7",9,"Betula papyrifera","0-5",0.5757,0.0062,87.6,542237.1,"yes",5040.89953872991,53.1247,0.2006,2.773,0.208,4352,2567,355,0.86,0.51,0.28,"High",54.22371,92.2784436338371,0.62057648772511,4.01139239004739,4.48413185761104,4.53558903757702,70.9992925227422,0.246860077931526,1.32787044098217
"7_9_BEPA_5_10_500_180914_AF","79","7",9,"Betula papyrifera","5-10",0.1234,0.0014,85.6,115625.2,"no",1057.0387782029,13.785,0.2931,1.268,0.097,463,259,14,0.44,0.25,0.44,"High",11.56252,111.709886547812,0.364643113587909,2.53071777785783,4.46129981556839,4.72481714166855,32.5121327845914,0.364643113587909,0.818898385865506
"7_9_BEPA_10_15_500_180914_AF","79","7",9,"Betula papyrifera","10-15",0.0505,5e-04,69.4,37477.4,"no",350.335219265324,12.3931,0.3337,1.146,0.044,492,397,33,1.4,1.13,0.26,"High",3.74774,245.407920792079,0.8754687373539,1.55766871534914,4.254193263164,5.50698837721444,18.7172439014221,0.231111720963387,0.763605644208507
"7_9_BEPA_15_20_500_180914_AF","79","7",9,"Betula papyrifera","15-20",0.1081,0.0012,63.6,75569.5,"no",687.43397202735,8.5161,0.3003,0.643,0.168,288,170,13,0.42,0.25,0.54,"High",7.55695,78.7798334875116,0.350656871613169,2.14674381824951,4.16821441078856,4.37927075932933,26.2189620699857,0.431782416425538,0.496523839055131
"7_9_BEPA_20_30_500_180914_AF","79","7",9,"Betula papyrifera","20-30",0.0374,2e-04,177.5,35293,"no",664.080737373885,3.7799,0.3184,0.562,0.067,109,59,6,0.16,0.09,0.27,"High",3.5293,101.066844919786,0.148420005118273,1.51056740216835,5.18458860121969,4.62562794099209,25.7697640147108,0.2390169004705,0.445967051417494
"7_13_LALA_0_5_500_180914_AF","713","7",13,"Larix laricina","0-5",0.7596,0.0085,32.3,274378.5,"no",2452.32044886744,51.6876,0.4472,5.012,0.152,897,525,20,0.37,0.21,0.34,"High",27.43785,68.0458135860979,0.314810739840034,3.34772100432774,3.5055573969864,4.23477024928592,49.5209092088124,0.29266961396282,1.79375747189073
"7_13_LALA_5_10_500_180914_AF","713","7",13,"Larix laricina","5-10",0.3344,0.0036,35.8,129824.8,"no",1196.40654838955,17.6544,0.509,0.448,0.747,369,239,11,0.31,0.2,0.27,"High",12.98248,52.7942583732057,0.27002713721306,2.63780511735321,3.60549784517489,3.98516673978495,34.5891102572696,0.2390169004705,0.370183293963525
"7_13_LALA_10_15_500_180914_AF","713","7",13,"Larix laricina","10-15",0.1659,0.0021,41,84153.2,"no",679.973674909404,13.3899,0.5539,1.247,0.133,240,142,4,0.35,0.21,0.28,"High",8.41532,80.7106690777577,0.300104592450338,2.24233814984804,3.73766961828337,4.40318458180707,26.0763048553549,0.246860077931526,0.809595993203192
"7_13_LALA_15_20_500_180914_AF","713","7",13,"Larix laricina","15-20",0.0131,1e-04,57.4,8585.6,"no",75.0681635559363,3.9861,0.4527,0.516,0.025,136,65,5,1.81,0.87,0.27,"High",0.85856,304.282442748092,1.03318448334565,0.61980199433413,4.06731588983418,5.72123738989225,8.66418856881222,0.2390169004705,0.41607528722018
"7_13_LALA_20_30_500_180914_AF","713","7",13,"Larix laricina","20-30",0.0824,5e-04,21.3,11308.4,"no",175.4033,7.0454,0.6075,1.279,0.064,143,89,5,0.82,0.51,0.31,"High",1.13084,85.502427184466,0.598836501088704,0.756516268176607,3.10458667846607,4.46017247348018,13.243991090302,0.27002713721306,0.823736750263547
